power_fixed_kw,power_vfd_kw,energy_fixed_kwh_yr,energy_vfd_kwh_yr,energy_savings_kwh_yr,cost_savings_eur_yr,savings_pct,load_pct
202.2,9.7,1617226.0,77613.0,1539613.0,230942.0,95.2,30.0
223.1,23.0,1784525.0,183972.0,1600553.0,240083.0,89.7,40.0
244.0,44.9,1951824.0,359320.0,1592504.0,238876.0,81.6,50.0
264.9,77.6,2119123.0,620904.0,1498219.0,224733.0,70.7,60.0
285.8,123.2,2286422.0,985973.0,1300449.0,195067.0,56.9,70.0
306.7,184.0,2453722.0,1471773.0,981949.0,147292.0,40.0,80.0
327.6,261.9,2621021.0,2095552.0,525469.0,78820.0,20.0,90.0
348.5,359.3,2788320.0,2874557.0,-86237.0,-12936.0,-3.1,100.0
