leak_rate_mbar_l_s,temperature_K,pressure_bar,Z,label,mass_flow_kg_s,mass_flow_g_s,mass_flow_g_year,mass_flow_kg_year,liquid_loss_L_s,liquid_loss_L_day,liquid_loss_L_year,boiloff_power_W,cost_eur_day,cost_eur_year
1e-09,4.222,1.0,1.0,1e-09,1.1403368954166408e-14,1.1403368954166409e-11,0.00035986295610800187,3.5986295610800186e-07,9.125615360248406e-14,7.884531671254622e-09,2.879825192925751e-06,2.3833041114207794e-10,1.1823012931679732e-07,4.318355473296022e-05
1e-08,4.222,1.0,1.0,1e-08,1.1403368954166406e-13,1.1403368954166406e-10,0.003598629561080018,3.5986295610800176e-06,9.125615360248405e-13,7.884531671254621e-08,2.8798251929257506e-05,2.383304111420779e-09,1.1823012931679728e-06,0.0004318355473296021
1e-07,4.222,1.0,1.0,1e-07,1.1403368954166407e-12,1.1403368954166407e-09,0.03598629561080018,3.5986295610800186e-05,9.125615360248406e-12,7.884531671254623e-07,0.00028798251929257514,2.383304111420779e-08,1.1823012931679733e-05,0.0043183554732960224
1e-06,4.222,1.0,1.0,1e-06,1.1403368954166406e-11,1.1403368954166405e-08,0.35986295610800173,0.0003598629561080017,9.125615360248404e-11,7.88453167125462e-06,0.0028798251929257504,2.383304111420779e-07,0.00011823012931679727,0.043183554732960205
1e-05,4.222,1.0,1.0,1e-05,1.1403368954166407e-10,1.1403368954166407e-07,3.598629561080018,0.003598629561080018,9.125615360248405e-10,7.884531671254623e-05,0.028798251929257508,2.383304111420779e-06,0.0011823012931679732,0.43183554732960217
0.0001,4.222,1.0,1.0,1e-04,1.1403368954166407e-09,1.1403368954166407e-06,35.986295610800184,0.03598629561080018,9.125615360248405e-09,0.0007884531671254622,0.28798251929257507,2.383304111420779e-05,0.011823012931679732,4.318355473296022
0.001,4.222,1.0,1.0,1e-03,1.1403368954166407e-08,1.1403368954166407e-05,359.8629561080018,0.3598629561080018,9.125615360248406e-08,0.007884531671254623,2.879825192925751,0.0002383304111420779,0.11823012931679731,43.18355473296022
0.01,4.222,1.0,1.0,1e-02,1.1403368954166405e-07,0.00011403368954166405,3598.6295610800175,3.5986295610800174,9.125615360248404e-07,0.07884531671254622,28.798251929257503,0.0023833041114207786,1.1823012931679728,431.8355473296021
