dose_kGy,HDPE_performance_pct,UHMWPE_performance_pct
0.0,100.0,100.0
1.2658227848101267,98.95069173542502,99.15966883150831
2.5316455696202533,97.9123939491911,98.32639922774399
3.79746835443038,96.88499110743902,97.50013184817767
5.063291139240507,95.86836888861593,96.68080785093693
6.329113924050633,94.86241417075445,95.86836888861593
7.59493670886076,93.86701501888538,95.0627571041203
8.860759493670887,92.88206067258238,94.2639151265468
10.126582278481013,91.90744153363742,93.47178606709787
11.39240506329114,90.94304915386554,92.68631351503015
12.658227848101266,89.98877622303755,91.90744153363742
13.924050632911394,89.04451655693933,91.13511465626698
15.18987341772152,88.11016508555653,90.36927788236972
16.455696202531648,87.18561784138312,89.60987667358329
17.721518987341774,86.27077194785274,88.85685694984818
18.9873417721519,85.36552560789129,88.11016508555653
20.253164556962027,84.4697780925898,87.36974790573309
21.518987341772153,83.58342972999611,86.6355526822486
22.78481012658228,82.70638189402405,85.90752713006462
24.050632911392405,81.83853699347911,85.18561940351022
25.31645569620253,80.97979846119928,84.4697780925898
26.58227848101266,80.13007074330976,83.759952219322
27.848101265822788,79.28925928859042,83.05609123410927
29.113924050632914,78.45727053795495,82.35814501213815
30.37974683544304,77.63401191404024,81.66606384980956
31.645569620253166,76.8193918109051,80.97979846119928
32.911392405063296,76.01331958383703,80.29929997454805
34.17721518987342,75.21570553926604,79.62451992878128
35.44303797468355,74.42646092478414,78.95541027005784
36.708860759493675,73.64549791926972,78.29192334834805
37.9746835443038,72.87272962311543,77.63401191404024
39.24050632911393,72.1080700485587,76.98162911457601
40.50632911392405,71.35143411011366,76.33472849111355
41.77215189873418,70.60273761510346,75.69326397521921
43.037974683544306,69.86189725429199,75.05718988558674
44.30379746835443,69.12883059261382,74.42646092478414
45.56962025316456,68.40345606000149,73.80103217602789
46.835443037974684,67.68569294230898,73.18085909998415
48.10126582278481,66.97546137233049,72.56589753159697
49.36708860759494,66.2726823209134,71.95610367694321
50.63291139240506,65.57727758816453,71.35143411011366
51.898734177215196,64.88916979474865,70.75184577012055
53.16455696202532,64.20828237327825,70.15729595783104
54.43037974683545,63.5345395597938,69.56774233292641
55.696202531645575,62.86786638533323,68.98314291088684
56.9620253164557,62.20818866758997,68.40345606000149
58.22784810126583,61.55543300265855,67.82864049840377
59.493670886075954,60.90952675686674,67.2586552911315
60.75949367088608,60.27039805869343,66.69345984721173
62.025316455696206,59.63797579077132,66.13301391677011
63.29113924050633,59.01218958197353,65.57727758816453
64.55696202531647,58.39296979958323,65.02621128514285
65.82278481012659,57.78024754154543,64.47977576402454
67.08860759493672,57.173954628800104,63.93793211090587
68.35443037974684,56.57402359769576,63.40064173888887
69.62025316455697,55.980387692482545,62.86786638533323
70.8860759493671,55.39298085788421,62.33956810913155
72.15189873417722,54.81173773174799,61.81570928800741
73.41772151898735,54.23659363777159,61.29625261583607
74.68354430379748,53.667484578306514,60.78116109998778
75.9493670886076,53.104347227236836,60.27039805869343
77.21518987341773,52.547118922932846,59.763927118432214
78.48101265822785,51.995737661278476,59.26171221134137
79.74683544303798,51.450142088771955,58.7637175726476
81.0126582278481,50.9102714956989,58.26990773812021
82.27848101265823,50.37606580937697,57.78024754154543
83.54430379746836,49.847465587471454,57.29470211222216
84.81012658227849,49.32441201138094,56.8132368724787
86.07594936708861,48.806846879692515,56.33581753521023
87.34177215189874,48.29471260170544,55.862410101437256
88.60759493670886,47.78795219102302,55.39298085788421
89.87341772151899,47.28650925921146,54.927496374578766
91.13924050632912,46.790328009525545,54.46592350247103
92.40506329113924,46.29935323069985,54.008229371072915
93.67088607594937,45.81353029080535,53.5543813861173
94.9367088607595,45.332805131170375,53.104347227236836
96.20253164556962,44.85712426036533,52.658094845662305
97.46835443037975,44.38643474825065,52.21559246194028
98.73417721518987,43.92068422008707,51.77680856367001
100.0,43.45982085070782,51.3417119032592
