supplier,temperature_k,leak_rate,he_loss_g_year
Meca Inox (HDPE),4,3.7275937203149377e-08,0.0707865546192169
Meca Inox (HDPE),4,4.186477288289947e-08,0.07950069816208662
Meca Inox (HDPE),4,4.701851489299856e-08,0.08928759200470233
Meca Inox (HDPE),4,5.2806705745826367e-08,0.10027929653830503
Meca Inox (HDPE),4,5.930744895010559e-08,0.11262412938281191
Meca Inox (HDPE),4,6.660846290809168e-08,0.1264886667248531
Meca Inox (HDPE),4,7.480826455225093e-08,0.14205999102953037
Meca Inox (HDPE),4,8.401749869294344e-08,0.15954821545561426
Meca Inox (HDPE),4,9.43604310147889e-08,0.17918931903761412
Meca Inox (HDPE),4,1.0597662486760708e-07,0.20124833089152544
Meca Inox (HDPE),4,1.1902282447787144e-07,0.22602290641063966
Meca Inox (HDPE),4,1.3367506999197063e-07,0.2538473437071573
Meca Inox (HDPE),4,1.501310728908174e-07,0.28509709449584547
Meca Inox (HDPE),4,1.6861288382868807e-07,0.32019383028777854
Meca Inox (HDPE),4,1.8936988889503602e-07,0.35961113225534014
Meca Inox (HDPE),4,2.1268217472962126e-07,0.40388088154521823
Meca Inox (HDPE),4,2.3886430789846004e-07,0.4536004362676956
Meca Inox (HDPE),4,2.6826957952797275e-07,0.5094406920056398
Meca Inox (HDPE),4,3.012947724726992e-07,0.5721551346084282
Meca Inox (HDPE),4,3.3838551534282333e-07,0.6425900074255642
Meca Inox (HDPE),4,3.8004229563658816e-07,0.721695730172521
Meca Inox (HDPE),4,4.2682721311638166e-07,0.8105397235103774
Meca Inox (HDPE),4,4.793715645558218e-07,0.9103208123889422
Meca Inox (HDPE),4,5.383843622033489e-07,1.022385402506251
Meca Inox (HDPE),4,6.046619009070435e-07,1.1482456481630647
Meca Inox (HDPE),4,6.790985029955721e-07,1.289599856662036
Meca Inox (HDPE),4,7.626985859023451e-07,1.4483554045802618
Meca Inox (HDPE),4,8.565902153685499e-07,1.6266544751381775
Meca Inox (HDPE),4,9.62040327106476e-07,1.8269029639544043
Meca Inox (HDPE),4,1.0804718223181286e-06,2.0518029432291542
Meca Inox (HDPE),4,1.213482767749143e-06,2.3043891224147637
Meca Inox (HDPE),4,1.3628679593557755e-06,2.5880697973589104
Meca Inox (HDPE),4,1.5306431405563594e-06,2.906672840471687
Meca Inox (HDPE),4,1.7190722018585747e-06,3.2644973524893244
Meca Inox (HDPE),4,1.9306977288832498e-06,3.6663716728025117
Meca Inox (HDPE),4,2.168375310987433e-06,4.117718531117311
Meca Inox (HDPE),4,2.4353120734334173e-06,4.624628219578829
Meca Inox (HDPE),4,2.735109953041211e-06,5.193940772712692
Meca Inox (HDPE),4,3.0718143012686963e-06,5.833338264087342
Meca Inox (HDPE),4,3.4499684705497157e-06,6.5514484651109095
Meca Inox (HDPE),4,3.874675120456128e-06,7.3579612646926424
Meca Inox (HDPE),4,4.35166507092442e-06,8.263759420688801
Meca Inox (HDPE),4,4.887374631624427e-06,9.281065407440057
Meca Inox (HDPE),4,5.4890324509215575e-06,10.423606340902005
Meca Inox (HDPE),4,6.1647570563371605e-06,11.70679920680154
Meca Inox (HDPE),4,6.9236664026787345e-06,13.147958891213266
Meca Inox (HDPE),4,7.776000906038043e-06,14.7665318206362
Meca Inox (HDPE),4,8.733261623828437e-06,16.584358364216047
Meca Inox (HDPE),4,9.80836544540667e-06,18.625967538862007
Meca Inox (HDPE),4,1.1015819387358996e-05,20.918907993890343
Meca Inox (HDPE),4,1.2371916345321619e-05,23.49411974136761
Meca Inox (HDPE),4,1.3894954943731388e-05,26.386351648132386
Meca Inox (HDPE),4,1.560548645007075e-05,29.634630322964806
Meca Inox (HDPE),4,1.7526592085367583e-05,33.28278672587707
Meca Inox (HDPE),4,1.968419447286611e-05,37.380047605378536
Meca Inox (HDPE),4,2.210740742743128e-05,41.98169974433077
Meca Inox (HDPE),4,2.48289288056033e-05,47.14983597745714
Meca Inox (HDPE),4,2.7885481717262916e-05,52.95419304696738
Meca Inox (HDPE),4,3.131831005243845e-05,59.47309260198025
Meca Inox (HDPE),4,3.51737350096938e-05,66.79449803921202
Meca Inox (HDPE),4,3.950378013566649e-05,75.01720144551145
Meca Inox (HDPE),4,4.436687330978616e-05,84.25215665836332
Meca Inox (HDPE),4,4.982863514647306e-05,94.62397643214292
Meca Inox (HDPE),4,5.5962764453195526e-05,106.27261391227482
Meca Inox (HDPE),4,6.285203269240097e-05,119.355251106431
Meca Inox (HDPE),4,7.058940086618752e-05,134.0484198350353
Meca Inox (HDPE),4,7.927927389450606e-05,150.55038378032168
Meca Inox (HDPE),4,8.903890941296736e-05,169.08381377635786
Meca Inox (HDPE),4,9.999999999999999e-05,189.8987924393119
Meca Inox (HDPE),80,9.999999999999999e-11,9.494939621965596e-06
Meca Inox (HDPE),80,1.1231045018329516e-10,1.0663809434061626e-05
Meca Inox (HDPE),80,1.2613637220374422e-10,1.1976572382083311e-05
Meca Inox (HDPE),80,1.4166432746690192e-10,1.3450942358845962e-05
Meca Inox (HDPE),80,1.59103843927215e-10,1.510681391711544e-05
Meca Inox (HDPE),80,1.786902433735825e-10,1.6966530718665043e-05
Meca Inox (HDPE),80,2.0068781676649705e-10,1.9055187030619846e-05
Meca Inox (HDPE),80,2.2539339047347936e-10,2.1400966337358028e-05
Meca Inox (HDPE),80,2.5314033152415694e-10,2.4035521637062243e-05
Meca Inox (HDPE),80,2.843030459302665e-10,2.6994402554487926e-05
Meca Inox (HDPE),80,3.193020307691027e-10,3.0317535033236317e-05
Meca Inox (HDPE),80,3.586095482011829e-10,3.4049760080305924e-05
Meca Inox (HDPE),80,4.027559979850293e-10,3.824143883252351e-05
Meca Inox (HDPE),80,4.5233707447720966e-10,4.294913210937662e-05
Meca Inox (HDPE),80,5.080218046913012e-10,4.823636362185904e-05
Meca Inox (HDPE),80,5.705615758781032e-10,5.417447713576133e-05
Meca Inox (HDPE),80,6.408002744416009e-10,6.084359915561985e-05
Meca Inox (HDPE),80,7.196856730011528e-10,6.833372011939623e-05
Meca Inox (HDPE),80,8.082822192522722e-10,7.674590869308684e-05
Meca Inox (HDPE),80,9.077853991937559e-10,8.61936755504665e-05
Meca Inox (HDPE),80,1.0195378685327303e-09,9.680450504025773e-05
Meca Inox (HDPE),80,1.1450475699382812e-09,0.00010872157540842409
Meca Inox (HDPE),80,1.286008080610565e-09,0.0001221056907875718
Meca Inox (HDPE),80,1.4443214647272788e-09,0.00013713745102294426
Meca Inox (HDPE),80,1.6221239391291694e-09,0.00015401968861376462
Meca Inox (HDPE),80,1.8218146985669712e-09,0.00017298020565302847
Meca Inox (HDPE),80,2.046088289466015e-09,0.0001942748476969068
Meca Inox (HDPE),80,2.297970969046965e-09,0.0002181909560413071
Meca Inox (HDPE),80,2.5808615404180765e-09,0.00024505124498922756
Meca Inox (HDPE),80,2.8985772146510677e-09,0.00027521815642717095
Meca Inox (HDPE),80,3.255405118685032e-09,0.00030909875046952127
Meca Inox (HDPE),80,3.6561601440851937e-09,0.0003471501981632595
Meca Inox (HDPE),80,4.106249917244294e-09,0.000389885950369358
Meca Inox (HDPE),80,4.611747767708251e-09,0.0004378826660612447
Meca Inox (HDPE),80,5.179474679231223e-09,0.0004917879935280008
Meca Inox (HDPE),80,5.817091329374369e-09,0.0005523293094786922
Meca Inox (HDPE),80,6.533201459593783e-09,0.0006203235339698048
Meca Inox (HDPE),80,7.337467970651389e-09,0.0006966881535944138
Meca Inox (HDPE),80,8.240743309893666e-09,0.0007824536016755728
Meca Inox (HDPE),80,9.255215909791354e-09,0.000878777162517243
Meca Inox (HDPE),80,1.0394574653722626e-08,0.000986958587331103
Meca Inox (HDPE),80,1.1674193588234575e-08,0.0011084576325542518
Meca Inox (HDPE),80,1.311133937421563e-08,0.001244913757212776
Meca Inox (HDPE),80,1.4725404276241208e-08,0.001398168245119443
Meca Inox (HDPE),80,1.653816783395673e-08,0.001570289050413527
Meca Inox (HDPE),80,1.8574090746385717e-08,0.0017635987016984228
Meca Inox (HDPE),80,2.0860644934719607e-08,0.001980705641304251
Meca Inox (HDPE),80,2.3428684237322352e-08,0.002224539422554729
Meca Inox (HDPE),80,2.6312860738959445e-08,0.00249839023997609
Meca Inox (HDPE),80,2.955209235202888e-08,0.0028059533258526547
Meca Inox (HDPE),80,3.319008795914677e-08,0.003151378812198259
Meca Inox (HDPE),80,3.7275937203149377e-08,0.0035393277309608445
Meca Inox (HDPE),80,4.186477288289947e-08,0.003975034908104331
Meca Inox (HDPE),80,4.701851489299856e-08,0.004464379600235116
Meca Inox (HDPE),80,5.2806705745826367e-08,0.005013964826915251
Meca Inox (HDPE),80,5.930744895010559e-08,0.005631206469140595
Meca Inox (HDPE),80,6.660846290809168e-08,0.006324433336242655
Meca Inox (HDPE),80,7.480826455225093e-08,0.007102999551476519
Meca Inox (HDPE),80,8.401749869294344e-08,0.007977410772780715
Meca Inox (HDPE),80,9.43604310147889e-08,0.008959465951880706
Meca Inox (HDPE),80,1.0597662486760708e-07,0.010062416544576272
Meca Inox (HDPE),80,1.1902282447787144e-07,0.011301145320531983
Meca Inox (HDPE),80,1.3367506999197063e-07,0.012692367185357864
Meca Inox (HDPE),80,1.501310728908174e-07,0.014254854724792274
