day,Q=1e-09,Q=1e-08,Q=1e-05,Q=1e-04
113,4999.999999109048,4999.999991090479,4999.991090479211,4999.910904792115
114,4999.999999101164,4999.999991011634,4999.991011633895,4999.910116338948
115,4999.999999093279,4999.999990932789,4999.990932788578,4999.909327885781
116,4999.999999085394,4999.999990853943,4999.990853943262,4999.908539432613
117,4999.9999990775095,4999.999990775098,4999.990775097945,4999.907750979446
118,4999.999999069625,4999.999990696253,4999.990696252628,4999.906962526279
119,4999.999999061741,4999.999990617407,4999.990617407311,4999.906174073112
120,4999.999999053856,4999.999990538562,4999.990538561994,4999.905385619945
121,4999.999999045972,4999.999990459717,4999.990459716678,4999.904597166777
122,4999.9999990380875,4999.999990380871,4999.990380871361,4999.9038087136105
123,4999.999999030202,4999.999990302026,4999.990302026044,4999.903020260444
124,4999.999999022318,4999.999990223181,4999.990223180727,4999.902231807277
125,4999.999999014433,4999.999990144335,4999.990144335411,4999.90144335411
126,4999.999999006549,4999.99999006549,4999.990065490094,4999.900654900942
127,4999.9999989986645,4999.999989986644,4999.989986644778,4999.899866447775
128,4999.99999899078,4999.999989907799,4999.9899077994605,4999.899077994608
129,4999.999998982896,4999.999989828954,4999.989828954144,4999.898289541441
130,4999.999998975011,4999.999989750108,4999.989750108827,4999.897501088274
131,4999.999998967126,4999.999989671263,4999.989671263511,4999.896712635106
132,4999.999998959242,4999.999989592418,4999.989592418194,4999.895924181939
133,4999.999998951357,4999.9999895135725,4999.9895135728775,4999.895135728772
134,4999.999998943473,4999.9999894347275,4999.98943472756,4999.8943472756055
135,4999.999998935588,4999.9999893558825,4999.989355882244,4999.893558822438
136,4999.999998927704,4999.999989277037,4999.989277036927,4999.892770369271
137,4999.9999989198195,4999.9999891981915,4999.989198191611,4999.891981916104
138,4999.999998911934,4999.9999891193465,4999.989119346294,4999.891193462937
139,4999.99999890405,4999.999989040501,4999.989040500977,4999.89040500977
140,4999.999998896165,4999.999988961656,4999.98896165566,4999.889616556602
141,4999.999998888281,4999.999988882811,4999.988882810344,4999.888828103435
142,4999.999998880397,4999.999988803965,4999.988803965027,4999.888039650268
143,4999.999998872512,4999.99998872512,4999.98872511971,4999.887251197101
144,4999.999998864628,4999.999988646275,4999.988646274393,4999.886462743934
145,4999.999998856743,4999.999988567429,4999.988567429076,4999.8856742907665
146,4999.999998848858,4999.999988488584,4999.98848858376,4999.8848858375995
147,4999.999998840974,4999.999988409739,4999.988409738443,4999.884097384433
148,4999.999998833089,4999.999988330893,4999.988330893127,4999.883308931266
149,4999.999998825205,4999.999988252048,4999.9882520478095,4999.882520478099
150,4999.99999881732,4999.999988173203,4999.988173202493,4999.881732024931
151,4999.999998809436,4999.999988094357,4999.988094357176,4999.880943571764
152,4999.999998801552,4999.999988015512,4999.98801551186,4999.880155118597
153,4999.999998793666,4999.999987936667,4999.987936666543,4999.87936666543
154,4999.999998785782,4999.999987857821,4999.9878578212265,4999.878578212262
155,4999.999998777897,4999.999987778976,4999.987778975909,4999.877789759095
156,4999.999998770013,4999.999987700131,4999.987700130593,4999.877001305928
157,4999.999998762129,4999.999987621285,4999.987621285276,4999.8762128527615
158,4999.999998754244,4999.99998754244,4999.98754243996,4999.8754243995945
159,4999.99999874636,4999.999987463595,4999.987463594643,4999.874635946427
160,4999.999998738475,4999.999987384749,4999.987384749326,4999.87384749326
161,4999.99999873059,4999.999987305904,4999.987305904009,4999.873059040093
162,4999.999998722706,4999.999987227059,4999.987227058693,4999.872270586926
163,4999.999998714821,4999.999987148213,4999.987148213376,4999.871482133759
164,4999.999998706937,4999.999987069368,4999.98706936806,4999.870693680591
165,4999.999998699052,4999.999986990522,4999.986990522742,4999.869905227424
166,4999.999998691168,4999.999986911677,4999.986911677425,4999.869116774257
167,4999.999998683284,4999.999986832832,4999.986832832109,4999.86832832109
168,4999.999998675398,4999.999986753986,4999.986753986792,4999.867539867923
169,4999.999998667514,4999.999986675141,4999.986675141476,4999.8667514147555
170,4999.9999986596295,4999.999986596296,4999.9865962961585,4999.865962961589
171,4999.999998651745,4999.99998651745,4999.986517450842,4999.865174508422
172,4999.999998643861,4999.999986438605,4999.986438605525,4999.864386055255
173,4999.999998635976,4999.99998635976,4999.986359760209,4999.863597602087
174,4999.999998628092,4999.9999862809145,4999.986280914892,4999.86280914892
175,4999.999998620207,4999.9999862020695,4999.9862020695755,4999.862020695753
176,4999.999998612322,4999.9999861232245,4999.986123224258,4999.861232242586
177,4999.999998604438,4999.999986044379,4999.986044378942,4999.860443789419
178,4999.999998596553,4999.999985965534,4999.985965533625,4999.859655336251
179,4999.999998588669,4999.999985886689,4999.985886688309,4999.858866883084
180,4999.999998580784,4999.999985807843,4999.985807842992,4999.858078429917
181,4999.9999985729,4999.999985728998,4999.985728997675,4999.8572899767505
182,4999.999998565016,4999.999985650153,4999.985650152358,4999.856501523584
183,4999.99999855713,4999.999985571307,4999.985571307042,4999.855713070416
184,4999.999998549246,4999.999985492462,4999.985492461725,4999.854924617249
185,4999.9999985413615,4999.999985413617,4999.985413616409,4999.854136164082
186,4999.999998533477,4999.999985334771,4999.985334771091,4999.853347710915
187,4999.999998525593,4999.999985255926,4999.985255925775,4999.852559257747
188,4999.999998517708,4999.999985177081,4999.985177080458,4999.85177080458
189,4999.999998509824,4999.999985098235,4999.985098235142,4999.850982351413
190,4999.9999985019385,4999.99998501939,4999.985019389825,4999.850193898246
191,4999.999998494054,4999.999984940545,4999.9849405445075,4999.849405445079
192,4999.99999848617,4999.999984861699,4999.984861699191,4999.8486169919115
193,4999.999998478285,4999.999984782854,4999.984782853874,4999.847828538745
194,4999.999998470401,4999.999984704009,4999.984704008558,4999.847040085578
195,4999.9999984625165,4999.999984625163,4999.984625163241,4999.846251632411
196,4999.999998454632,4999.999984546318,4999.9845463179245,4999.845463179244
197,4999.999998446748,4999.999984467473,4999.984467472607,4999.844674726076
198,4999.999998438862,4999.999984388627,4999.984388627291,4999.843886272909
199,4999.999998430978,4999.999984309782,4999.984309781974,4999.843097819742
200,4999.9999984230935,4999.999984230936,4999.984230936658,4999.842309366575
201,4999.999998415209,4999.999984152091,4999.984152091341,4999.841520913408
202,4999.999998407325,4999.999984073246,4999.984073246024,4999.84073246024
203,4999.99999839944,4999.9999839944,4999.983994400707,4999.839944007073
204,4999.999998391556,4999.999983915555,4999.983915555391,4999.8391555539065
205,4999.999998383671,4999.99998383671,4999.983836710074,4999.83836710074
206,4999.999998375786,4999.999983757864,4999.9837578647575,4999.837578647572
207,4999.999998367902,4999.999983679019,4999.98367901944,4999.836790194405
208,4999.999998360017,4999.999983600174,4999.983600174124,4999.836001741238
209,4999.999998352133,4999.999983521328,4999.983521328807,4999.835213288071
210,4999.9999983442485,4999.999983442483,4999.983442483491,4999.834424834904
211,4999.999998336364,4999.999983363638,4999.983363638174,4999.833636381736
212,4999.99999832848,4999.9999832847925,4999.983284792857,4999.832847928569
213,4999.999998320594,4999.9999832059475,4999.98320594754,4999.832059475402
214,4999.99999831271,4999.9999831271025,4999.983127102223,4999.831271022235
215,4999.999998304826,4999.999983048257,4999.983048256907,4999.830482569068
216,4999.999998296941,4999.999982969412,4999.98296941159,4999.829694115901
217,4999.999998289057,4999.999982890567,4999.982890566273,4999.828905662734
218,4999.999998281172,4999.999982811721,4999.982811720956,4999.828117209567
219,4999.999998273288,4999.999982732876,4999.98273287564,4999.8273287564
220,4999.999998265403,4999.999982654031,4999.982654030323,4999.826540303233
221,4999.999998257518,4999.999982575185,4999.982575185007,4999.825751850065
222,4999.999998249634,4999.99998249634,4999.9824963396895,4999.824963396898
223,4999.999998241749,4999.999982417495,4999.982417494373,4999.824174943731
224,4999.999998233865,4999.999982338649,4999.982338649056,4999.823386490564
225,4999.999998225981,4999.999982259804,4999.98225980374,4999.822598037396
226,4999.999998218096,4999.999982180959,4999.982180958423,4999.821809584229
227,4999.999998210212,4999.999982102113,4999.9821021131065,4999.8210211310625
228,4999.999998202326,4999.999982023268,4999.982023267789,4999.820232677896
229,4999.999998194442,4999.999981944423,4999.981944422473,4999.819444224729
230,4999.999998186558,4999.999981865577,4999.981865577156,4999.818655771561
231,4999.999998178673,4999.999981786732,4999.98178673184,4999.817867318394
232,4999.999998170789,4999.999981707887,4999.981707886523,4999.817078865227
233,4999.999998162904,4999.999981629041,4999.981629041206,4999.81629041206
234,4999.99999815502,4999.999981550196,4999.981550195889,4999.815501958893
235,4999.999998147135,4999.999981471351,4999.981471350573,4999.814713505725
236,4999.99999813925,4999.999981392505,4999.981392505256,4999.813925052558
237,4999.999998131366,4999.99998131366,4999.981313659939,4999.813136599391
238,4999.999998123481,4999.999981234814,4999.981234814622,4999.812348146224
239,4999.999998115597,4999.999981155969,4999.981155969305,4999.8115596930575
240,4999.999998107713,4999.999981077124,4999.981077123989,4999.81077123989
241,4999.999998099828,4999.999980998278,4999.980998278672,4999.809982786723
242,4999.999998091944,4999.999980919433,4999.980919433356,4999.809194333556
243,4999.9999980840585,4999.999980840588,4999.9808405880385,4999.808405880389
244,4999.999998076174,4999.999980761742,4999.980761742722,4999.807617427221
245,4999.99999806829,4999.999980682897,4999.980682897405,4999.806828974054
246,4999.999998060405,4999.999980604052,4999.980604052089,4999.806040520887
247,4999.999998052521,4999.999980525206,4999.980525206772,4999.80525206772
