T (K),P (bar),g/year
4.0,1 bar,3.7979758487862396
7.746835443037975,1 bar,1.9610463532948557
11.49367088607595,1 bar,1.3217625200621712
15.240506329113924,1 bar,0.9968109370568535
18.9873417721519,1 bar,0.800106912144301
22.734177215189874,1 bar,0.6682407395414541
26.481012658227847,1 bar,0.5736904245776537
30.227848101265824,1 bar,0.5025797186836062
33.9746835443038,1 bar,0.44715363942490743
37.721518987341774,1 bar,0.40273837859612466
41.46835443037975,1 bar,0.3663493187473906
45.21518987341772,1 bar,0.3359911445174837
48.962025316455694,1 bar,0.31027930925968245
52.70886075949367,1 bar,0.28822295106062723
56.45569620253165,1 bar,0.26909425296332995
60.20253164556962,1 bar,0.2523465870934507
63.949367088607595,1 bar,0.23756143472217964
67.69620253164557,1 bar,0.22441293347353244
71.44303797468355,1 bar,0.2126435804777554
75.18987341772151,1 bar,0.2020472000364397
78.9367088607595,1 bar,0.19245676206165035
82.68354430379746,1 bar,0.1837355125867195
86.43037974683544,1 bar,0.17577041127950374
90.17721518987342,1 bar,0.16846720497142778
93.92405063291139,1 bar,0.16174668035262155
97.67088607594937,1 bar,0.1555417791882389
101.41772151898734,1 bar,0.14979535299756014
105.16455696202532,1 bar,0.14445839771502786
108.9113924050633,1 bar,0.1394886527448224
112.65822784810126,1 bar,0.13484947957488222
116.40506329113924,1 bar,0.13050895696133663
120.15189873417721,1 bar,0.12643914540839146
123.89873417721519,1 bar,0.12261548510589003
127.64556962025317,1 bar,0.11901629990246448
131.39240506329114,1 bar,0.1156223861480204
135.13924050632912,1 bar,0.1124166699341
138.8860759493671,1 bar,0.10938391981557159
142.63291139240505,1 bar,0.10651050481154169
146.37974683544303,1 bar,0.10378418957250533
150.126582278481,1 bar,0.10119396022061143
153.873417721519,1 bar,0.09872987563478541
157.62025316455697,1 bar,0.09638293994671149
161.36708860759492,1 bar,0.09414499280016095
165.1139240506329,1 bar,0.09200861455201255
168.86075949367088,1 bar,0.08996704409418678
172.60759493670886,1 bar,0.08801410737873655
176.35443037974684,1 bar,0.08614415505429597
180.1012658227848,1 bar,0.08435200788701516
183.84810126582278,1 bar,0.08263290885544283
187.59493670886076,1 bar,0.0809824809862653
191.34177215189874,1 bar,0.07939669014398332
195.08860759493672,1 bar,0.07787181210851621
198.83544303797467,1 bar,0.07640440337512425
202.58227848101265,1 bar,0.07499127519472956
206.32911392405063,1 bar,0.0736294704427271
