Hours,Air leak (mbar·l/s),Purity (%)
0.0,1e-05,100.0
44.02010050251256,1e-05,99.99996830553768
88.04020100502512,1e-05,99.99993661109545
132.0603015075377,1e-05,99.99990491667332
176.08040201005025,1e-05,99.99987322227128
220.1005025125628,1e-05,99.99984152788932
264.1206030150754,1e-05,99.99980983352746
308.14070351758795,1e-05,99.9997781391857
352.1608040201005,1e-05,99.99974644486402
396.18090452261305,1e-05,99.99971475056242
440.2010050251256,1e-05,99.99968305628092
484.2211055276382,1e-05,99.9996513620195
528.2412060301508,1e-05,99.99961966777819
572.2613065326633,1e-05,99.99958797355696
616.2814070351759,1e-05,99.99955627935583
660.3015075376884,1e-05,99.99952458517478
704.321608040201,1e-05,99.99949289101382
748.3417085427136,1e-05,99.99946119687296
792.3618090452261,1e-05,99.99942950275218
836.3819095477387,1e-05,99.9993978086515
880.4020100502512,1e-05,99.9993661145709
924.4221105527638,1e-05,99.9993344205104
968.4422110552764,1e-05,99.99930272646998
1012.4623115577889,1e-05,99.99927103244966
1056.4824120603016,1e-05,99.99923933844941
1100.502512562814,1e-05,99.99920764446928
1144.5226130653266,1e-05,99.99917595050923
1188.5427135678392,1e-05,99.99914425656927
1232.5628140703518,1e-05,99.9991125626494
1276.5829145728644,1e-05,99.99908086874962
1320.6030150753768,1e-05,99.99904917486991
1364.6231155778894,1e-05,99.99901748101031
1408.643216080402,1e-05,99.9989857871708
1452.6633165829146,1e-05,99.99895409335137
1496.6834170854272,1e-05,99.99892239955204
1540.7035175879396,1e-05,99.99889070577281
1584.7236180904522,1e-05,99.99885901201367
1628.7437185929648,1e-05,99.99882731827459
1672.7638190954774,1e-05,99.99879562455563
1716.78391959799,1e-05,99.99876393085675
1760.8040201005024,1e-05,99.99873223717796
1804.824120603015,1e-05,99.99870054351926
1848.8442211055276,1e-05,99.99866884988064
1892.8643216080402,1e-05,99.99863715626212
1936.8844221105528,1e-05,99.99860546266369
1980.9045226130654,1e-05,99.99857376908535
2024.9246231155778,1e-05,99.99854207552711
2068.9447236180904,1e-05,99.99851038198895
2112.964824120603,1e-05,99.99847868847087
2156.9849246231156,1e-05,99.9984469949729
2201.005025125628,1e-05,99.998415301495
2245.025125628141,1e-05,99.9983836080372
2289.045226130653,1e-05,99.9983519145995
2333.065326633166,1e-05,99.99832022118187
2377.0854271356784,1e-05,99.99828852778434
2421.105527638191,1e-05,99.9982568344069
2465.1256281407036,1e-05,99.99822514104955
2509.145728643216,1e-05,99.99819344771228
2553.165829145729,1e-05,99.99816175439511
2597.185929648241,1e-05,99.99813006109802
2641.2060301507536,1e-05,99.99809836782103
2685.2261306532664,1e-05,99.99806667456413
2729.246231155779,1e-05,99.99803498132731
2773.2663316582916,1e-05,99.99800328811058
2817.286432160804,1e-05,99.99797159491395
2861.3065326633164,1e-05,99.99793990173741
2905.326633165829,1e-05,99.99790820858095
2949.3467336683416,1e-05,99.99787651544459
2993.3668341708544,1e-05,99.9978448223283
3037.386934673367,1e-05,99.99781312923211
3081.407035175879,1e-05,99.99778143615602
3125.427135678392,1e-05,99.99774974310002
3169.4472361809044,1e-05,99.9977180500641
3213.467336683417,1e-05,99.99768635704827
3257.4874371859296,1e-05,99.99765466405253
3301.507537688442,1e-05,99.99762297107686
3345.527638190955,1e-05,99.9975912781213
3389.547738693467,1e-05,99.99755958518584
3433.56783919598,1e-05,99.99752789227045
3477.5879396984924,1e-05,99.99749619937516
3521.6080402010048,1e-05,99.99746450649995
3565.6281407035176,1e-05,99.99743281364485
3609.64824120603,1e-05,99.99740112080981
3653.668341708543,1e-05,99.99736942799487
3697.688442211055,1e-05,99.99733773520003
3741.708542713568,1e-05,99.99730604242527
3785.7286432160804,1e-05,99.9972743496706
3829.748743718593,1e-05,99.99724265693602
3873.7688442211056,1e-05,99.99721096422154
3917.788944723618,1e-05,99.99717927152713
3961.809045226131,1e-05,99.99714757885282
4005.829145728643,1e-05,99.9971158861986
4049.8492462311556,1e-05,99.99708419356446
4093.8693467336684,1e-05,99.99705250095042
4137.889447236181,1e-05,99.99702080835647
4181.909547738694,1e-05,99.9969891157826
4225.929648241206,1e-05,99.99695742322882
