Valve Count,Total He Loss (kg/yr),Cost at €120/kg (€/yr)
200,0.189898792439312,22.78785509271744
210,0.19939373206127758,23.92724784735331
220,0.20888867168324318,25.06664060198918
230,0.21838361130520878,26.206033356625053
240,0.22787855092717438,27.345426111260924
250,0.23737349054913998,28.4848188658968
260,0.24686843017110557,29.62421162053267
270,0.25636336979307117,30.76360437516854
280,0.2658583094150368,31.902997129804415
290,0.2753532490370024,33.04238988444029
300,0.28484818865896794,34.181782639076154
310,0.29434312828093356,35.321175393712025
320,0.3038380679028992,36.4605681483479
330,0.31333300752486476,37.599960902983774
340,0.32282794714683033,38.73935365761964
350,0.33232288676879596,39.878746412255516
360,0.3418178263907616,41.01813916689139
370,0.35131276601272715,42.15753192152726
380,0.3608077056346928,43.29692467616313
390,0.37030264525665835,44.436317430799
400,0.379797584878624,45.57571018543488
410,0.38929252450058954,46.71510294007074
420,0.39878746412255517,47.85449569470662
430,0.40828240374452074,48.99388844934249
440,0.41777734336648636,50.13328120397836
450,0.42727228298845193,51.272673958614234
460,0.43676722261041756,52.412066713250105
470,0.4462621622323832,53.551459467885984
480,0.45575710185434876,54.69085222252185
490,0.4652520414763143,55.83024497715772
500,0.47474698109827995,56.9696377317936
510,0.4842419207202456,58.10903048642947
