he_price_eur_kg,valve_failure_rate,mttr_hours,leak_rate_mbar_l_s,leak_class_idx,material_uhmwpe,valve_count,he_loss_kg_yr,he_loss_cost_eur,maint_cost_eur,total_cost_eur
213.71044234342972,0.00493337279018541,7.290157916531895,1e-08,1,0,364,0.0003456158022395477,0.07386170597749307,11596.995334011976,11597.069195717953
164.04653665843082,0.029043822742300572,4.7728363240369385,1e-07,2,1,357,0.003389693445041718,0.5560674699928788,77293.75950268512,77294.31557015511
231.75203652768045,0.02946179888573927,3.8228472052408584,1e-09,0,1,424,4.025854399713415e-05,0.009329999558975064,90747.568358187,90747.57768818656
200.15663706192308,0.01620506548474801,9.526774272022175,1e-07,2,0,449,0.004263227890262553,0.85331335754355,50243.87569735984,50244.72901071738
127.26379024483367,0.02417020744363271,4.030926935685673,1e-06,3,1,373,0.03541612478993167,4.507190276550718,65868.82212792095,65873.3293181975
271.66275000842074,0.018263210207515933,6.401111652129336,1e-09,0,1,410,3.892925245005896e-05,0.010575627776355068,58257.65271152861,58257.663287156385
211.2979243961125,0.02193526716011893,10.648671054056921,1e-08,1,1,423,0.00040163594600914473,0.08486484175460139,80072.00725899053,80072.09212383229
216.05333964845806,0.010821924614054802,6.073459646443658,1e-06,3,1,391,0.03712521392188548,8.021026452986789,32643.735461453085,32651.75648790607
130.53042473745467,0.024979940985919276,2.4296537188481575,1e-05,4,1,399,0.3788480909164274,49.45120221829511,69628.74694672273,69678.19814894102
165.44782719807154,0.006870518158204669,2.152829385996312,1e-05,4,1,428,0.40638341582012766,67.23525315677053,20379.895686138556,20447.130939295326
156.03502828195056,0.005360558701364947,3.446915079215378,1e-06,3,0,413,0.039214100638717914,6.118773302213605,12595.786183592898,12601.904956895112
250.88420552075883,0.019024573466664065,5.703294115141044,1e-05,4,0,413,0.39214100638717925,98.38198483955827,48248.07035882906,48346.45234366862
191.6898760754891,0.018310053763109763,4.9962483187546685,1e-09,0,0,380,3.608077056346928e-05,0.006916318438019582,41741.70187500715,41741.70879132559
223.59167284347302,0.022178413844414005,12.059290923631563,1e-08,1,0,409,0.00038834303053839286,0.08683026783518319,67232.75259437962,67232.83942464745
164.59713337367,0.014803940078109368,4.972001647483061,1e-07,2,1,398,0.0037789859695423074,0.6220102576459828,44156.76805289392,44157.39006315157
140.45453154536338,0.03508553332628472,3.395916745687948,1e-05,4,1,399,0.3788480909164274,53.21093113652205,100502.30518401842,100555.51611515494
178.87206302550015,0.021284839915035537,2.2696447230276533,1e-06,3,0,393,0.0373151127143248,6.674631193240347,45621.79976610563,45628.47439729887
124.39288287791845,0.021863054228129803,7.2175318834749005,1e-08,1,0,409,0.00038834303053839286,0.04830710911421821,57617.76429718986,57617.812604298975
224.6486284493484,0.021577871019256366,3.987895892290601,1e-09,0,1,383,3.636561875212825e-05,0.008169486375377516,60309.56312771719,60309.57129720357
189.8502170092052,0.028023278951584622,1.8836746628937113,1e-06,3,1,410,0.038929252450058946,7.3907270256498245,79010.55112962182,79017.94185664746
210.73304171426145,0.024608139315875716,4.044769894856464,1e-08,1,1,399,0.00037884809091642726,0.07983581054645977,71764.04334937203,71764.12318518259
154.1853415811629,0.023536143197666233,2.431298083724339,1e-08,1,1,382,0.0003627066935590857,0.05592405544018181,62812.10978070797,62812.165704763414
268.9322180316669,0.025887872838924728,3.2332104984354615,1e-08,1,1,351,0.00033327238073099243,0.08962768055867995,64938.98802760392,64939.077655284476
240.6654378658879,0.0054030829036224685,4.012403142970448,1e-08,1,1,438,0.0004158783554420931,0.1000875465114167,17281.68780841525,17281.78789596176
214.55968395195225,0.005705218795313782,2.5439178084389287,1e-08,1,1,432,0.0004101813916689137,0.08800838975945406,17274.230082040645,17274.318090430406
137.12397056854502,0.01939153003758845,3.134539510338862,1e-06,3,0,385,0.03655551754456755,5.012637711899212,42009.026136651046,42014.03877436295
167.46241990578108,0.018418608938544783,2.7572517587375973,1e-09,0,0,430,4.082824037445208e-05,0.006837195933600659,43967.49702035131,43967.50385754724
122.52576537714359,0.024638478752385666,2.794490395968767,1e-07,2,1,379,0.0035985821167249608,0.4409190281242273,65915.87341865963,65916.31433768776
133.0937265070753,0.020160135217468043,2.4164127423672395,1e-05,4,0,400,0.379797584878624,50.5486758898833,44217.487045122994,44268.03572101288
197.82188355526637,0.024654919475633686,3.1421650818271334,1e-05,4,0,394,0.37410062110544456,74.00528950627408,54674.813740240126,54748.8190297464
208.30739078640795,0.010035237843509714,2.5572824207088596,1e-05,4,0,401,0.3807470788408205,79.31243054287808,22178.81944968912,22258.131880232
267.2856390308916,0.019914043436730443,5.36333733852001,1e-08,1,1,429,0.00040733290978232407,0.10887423708948102,64694.241991138624,64694.350865375716
150.97881793875987,0.009271546096337726,4.422452417840944,1e-09,0,1,397,3.769491029920343e-05,0.005691132999281319,27180.860634798784,27180.866325931784
155.99632892453255,0.02309486347497121,7.269241648203391,1e-05,4,0,399,0.3788480909164274,59.09891140303022,59471.247678427746,59530.34658983078
167.81516132106947,0.004973719661093435,10.274304364500876,1e-07,2,0,432,0.004101813916689138,0.6883465641381955,15158.404899283274,15159.093245847413
136.60228449649722,0.022786480788327037,5.6122789561100435,1e-07,2,0,411,0.00390242018462786,0.5330795122854082,57338.289939529444,57338.82301904173
130.7062150749486,0.008248004952823101,5.008256614685211,1e-07,2,1,392,0.003722016331810514,0.4864906671780963,24254.47364824718,24254.96013891436
168.58356369876049,0.016931777654225637,5.791915102551484,1e-09,0,0,417,3.9593898223596554e-05,0.006674880463259929,43481.57912935379,43481.58580423425
140.42053376996188,0.027159421531593994,5.051012759524276,1e-06,3,1,439,0.041682784940428964,5.8531189103535635,89544.04027683339,89549.89339574374
195.7103695703254,0.02181903990878734,4.1016692862308695,1e-08,1,1,441,0.00041872683732868275,0.08194918408261004,70437.69155041354,70437.77349959762
163.837538975144,0.0068347182102055926,3.9417762947559267,1e-08,1,0,370,0.00035131276601272704,0.057558218994075816,14637.8575253324,14637.915083551394
225.7599823420358,0.014620849242447807,2.3999775402690315,1e-06,3,1,371,0.035226225997492366,7.952672159170439,37861.83441543673,37869.7870875959
200.63568276264402,0.007988971796185584,6.08455831703338,1e-06,3,0,439,0.041682784940428964,8.363054015971422,21803.695320928247,21812.05837494422
149.49869491304878,0.006441932003158454,3.937897518718285,1e-05,4,0,401,0.3807470788408205,56.92119137865835,14950.560644022065,15007.481835400724
225.66722027233158,0.020941305409071794,8.256938261237469,1e-06,3,0,343,0.032567642903342,7.349449444819115,47776.03789540642,47783.38734485124
219.80609708927153,0.024482386748480828,6.320904486760542,1e-09,0,0,388,3.684036573322653e-05,0.008097737007161862,59504.494563870954,59504.50266160796
157.9561258105579,0.023524847365725517,2.925070403544168,1e-07,2,0,396,0.003759996090298376,0.593914415486376,52029.09509850484,52029.689012920324
146.89065261540117,0.02482101451903801,7.460630175453042,1e-07,2,1,400,0.0037979758487862382,0.5578871510457427,79349.07054198626,79349.62842913732
197.73271246843245,0.019904713192913454,1.1117366951663885,1e-08,1,0,432,0.0004101813916689137,0.08110627917877078,44906.108822164286,44906.18992844346
131.6653535664469,0.017812878250000257,10.500335757938993,1e-07,2,0,382,0.003627066935590858,0.47755905048373937,48312.54532393876,48313.022882989244
137.65769556129268,0.011415445383501486,2.0484260591706747,1e-07,2,1,438,0.004158783554420931,0.5724885604397872,34548.184758961645,34548.75724752209
119.01044425272178,0.01647936262599601,5.123564820102271,1e-06,3,0,418,0.03968884761981619,4.723387387112904,41500.47359438231,41505.196981769426
216.2222523274852,0.009429212917390637,4.953044530580333,1e-05,4,0,371,0.3522622599749237,76.16693926174814,20956.575672697036,21032.742611958784
194.92948661085518,0.013238675782984644,7.015716117131139,1e-06,3,1,400,0.037979758487862385,7.403374823643284,41850.8603205728,41858.26369539644
201.45126876489724,0.020711414963504336,3.393785474265363,1e-05,4,0,424,0.4025854399713414,81.10134766850109,49868.800139421255,49949.90148708976
