leak_rate,T (K),g/year,kg/year
9.999999999999999e-10,4,0.001898987924393119,1.898987924393119e-06
1.2154742500762884e-09,4,0.002308170923305654,2.3081709233056542e-06
1.4773776525985095e-09,4,0.0028055223220528223,2.805522322052822e-06
1.795714494371641e-09,4,0.003410040140469442,3.410040140469442e-06
2.1826447283974827e-09,4,0.004144815982467119,4.1448159824671195e-06
2.6529484644318945e-09,4,0.0050379170979934365,5.037917097993437e-06
3.2245905452963976e-09,4,0.006123458506630084,6.123458506630084e-06
3.919406774847213e-09,4,0.007442906136219439,7.44290613621944e-06
4.76393801040134e-09,4,0.009046660754309528,9.046660754309528e-06
5.790443980602495e-09,4,0.010995983196038965,1.0995983196038965e-05
7.038135554931547e-09,4,0.013365334429056875,1.3365334429056874e-05
8.554672535565684e-09,4,0.016245219842176698,1.6245219842176698e-05
1.03979841848149e-08,4,0.019745646404994127,1.974564640499413e-05
1.2638482029342972e-08,4,0.024000324756381752,2.4000324756381754e-05
1.5361749466718295e-08,4,0.029171776734850483,2.9171776734850483e-05
1.8671810912919206e-08,4,0.035457543450185244,3.5457543450185247e-05
2.2695105366946686e-08,4,0.04309773103466124,4.309773103466124e-05
2.7585316176291813e-08,4,0.05238418230934433,5.238418230934433e-05
3.352924149249553e-08,4,0.06367162470830974,6.367162470830973e-05
4.075392965871778e-08,4,0.07739122029347166,7.739122029347166e-05
4.95353520895917e-08,4,0.0940670354486961,9.40670354486961e-05
6.020894493336125e-08,4,0.1143360593689033,0.0001143360593689033
7.318242219076181e-08,4,0.13897253601809573,0.00013897253601809572
8.895134973108236e-08,4,0.1689175389977946,0.0001689175389977946
1.0811807510766077e-07,4,0.20531491903807608,0.0002053149190380761
1.3141473626117555e-07,4,0.24955499724727903,0.00024955499724727903
1.5973122800602523e-07,4,0.303327673131926,0.000303327673131926
1.9414919457438817e-07,4,0.3686869760274133,0.0003686869760274133
2.3598334667821937e-07,4,0.44812952569981374,0.0004481295256998137
2.8683168133420086e-07,4,0.5446898991870228,0.0005446898991870228
3.486365227678088e-07,4,0.6620565467384757,0.0006620565467384757
4.2375871606040634e-07,4,0.8047126846550442,0.0008047126846550442
