P_upstream (bar),Pressure Ratio,Critical Ratio,Choked
1.0,1.0,0.48808375993399744,False
1.3877551020408163,0.7205882352941176,0.48808375993399744,False
1.7755102040816326,0.5632183908045977,0.48808375993399744,False
2.163265306122449,0.4622641509433962,0.48808375993399744,True
2.5510204081632653,0.392,0.48808375993399744,True
2.9387755102040813,0.3402777777777778,0.48808375993399744,True
3.326530612244898,0.3006134969325153,0.48808375993399744,True
3.7142857142857144,0.2692307692307692,0.48808375993399744,True
4.1020408163265305,0.24378109452736318,0.48808375993399744,True
4.489795918367347,0.22272727272727275,0.48808375993399744,True
4.877551020408163,0.20502092050209209,0.48808375993399744,True
5.26530612244898,0.18992248062015504,0.48808375993399744,True
5.653061224489796,0.1768953068592058,0.48808375993399744,True
6.040816326530612,0.16554054054054054,0.48808375993399744,True
6.428571428571429,0.15555555555555556,0.48808375993399744,True
6.816326530612245,0.1467065868263473,0.48808375993399744,True
7.204081632653061,0.1388101983002833,0.48808375993399744,True
7.591836734693877,0.13172043010752688,0.48808375993399744,True
7.979591836734693,0.12531969309462918,0.48808375993399744,True
8.36734693877551,0.11951219512195121,0.48808375993399744,True
8.755102040816325,0.11421911421911424,0.48808375993399744,True
9.142857142857142,0.109375,0.48808375993399744,True
9.53061224489796,0.10492505353319058,0.48808375993399744,True
9.918367346938775,0.10082304526748972,0.48808375993399744,True
10.306122448979592,0.09702970297029703,0.48808375993399744,True
10.693877551020408,0.09351145038167939,0.48808375993399744,True
11.081632653061224,0.09023941068139964,0.48808375993399744,True
11.46938775510204,0.08718861209964412,0.48808375993399744,True
11.857142857142858,0.08433734939759036,0.48808375993399744,True
12.244897959183673,0.08166666666666667,0.48808375993399744,True
12.63265306122449,0.0791599353796446,0.48808375993399744,True
13.020408163265305,0.07680250783699061,0.48808375993399744,True
13.408163265306122,0.0745814307458143,0.48808375993399744,True
13.795918367346939,0.07248520710059171,0.48808375993399744,True
14.183673469387754,0.07050359712230217,0.48808375993399744,True
14.571428571428571,0.06862745098039216,0.48808375993399744,True
14.959183673469386,0.06684856753069578,0.48808375993399744,True
15.346938775510203,0.06515957446808511,0.48808375993399744,True
15.73469387755102,0.06355382619974059,0.48808375993399744,True
16.122448979591837,0.0620253164556962,0.48808375993399744,True
16.51020408163265,0.06056860321384426,0.48808375993399744,True
16.89795918367347,0.05917874396135265,0.48808375993399744,True
17.285714285714285,0.05785123966942149,0.48808375993399744,True
17.6734693877551,0.05658198614318707,0.48808375993399744,True
18.06122448979592,0.05536723163841808,0.48808375993399744,True
18.448979591836736,0.054203539823008844,0.48808375993399744,True
18.83673469387755,0.053087757313109434,0.48808375993399744,True
19.224489795918366,0.05201698513800425,0.48808375993399744,True
19.612244897959183,0.05098855359001041,0.48808375993399744,True
20.0,0.05,0.48808375993399744,True
