leak_rate_mbar_l_s,temperature_K,pressure_bar_abs,mass_flow_g_s,mass_flow_g_day,mass_flow_g_year,density_kg_m3,velocity_m_s,speed_of_sound_m_s,mach_est,critical_pressure_ratio,actual_pressure_ratio,is_choked
1e-09,4,1,1.203505922118995e-11,1.0398291167108116e-06,0.00037979758487862396,12.035059221189945,5.092958178940653e-07,117.44375494779472,4.3365082981249534e-09,0.48808375993399744,1.0,0.0
1e-09,4,5,6.017529610594974e-11,5.1991455835540576e-06,0.0018989879243931195,60.17529610594973,5.092958178940652e-07,117.44375494779472,4.336508298124953e-09,0.48808375993399744,0.2,1.0
1e-09,4,12,1.444207106542794e-10,1.2477949400529741e-05,0.004557571018543488,144.42071065427936,5.092958178940652e-07,117.44375494779472,4.336508298124953e-09,0.48808375993399744,0.08333333333333333,1.0
1e-09,10,1,4.81402368847598e-12,4.159316466843247e-07,0.0001519190339514496,4.814023688475978,5.092958178940653e-07,185.6948812988504,2.7426486628590675e-09,0.48808375993399744,1.0,0.0
1e-09,10,5,2.4070118442379902e-11,2.0796582334216235e-06,0.000759595169757248,24.07011844237989,5.092958178940653e-07,185.6948812988504,2.7426486628590675e-09,0.48808375993399744,0.2,1.0
1e-09,10,12,5.7768284261711754e-11,4.9911797602118955e-06,0.001823028407417395,57.76828426171174,5.092958178940652e-07,185.6948812988504,2.742648662859067e-09,0.48808375993399744,0.08333333333333333,1.0
1e-09,20,1,2.40701184423799e-12,2.0796582334216234e-07,7.59595169757248e-05,2.407011844237989,5.092958178940653e-07,262.6122195960963,1.9393454679198635e-09,0.48808375993399744,1.0,0.0
1e-09,20,5,1.2035059221189951e-11,1.0398291167108118e-06,0.000379797584878624,12.035059221189945,5.092958178940653e-07,262.6122195960963,1.9393454679198635e-09,0.48808375993399744,0.2,1.0
1e-09,20,12,2.8884142130855877e-11,2.4955898801059477e-06,0.0009115142037086975,28.88414213085587,5.092958178940652e-07,262.6122195960963,1.939345467919863e-09,0.48808375993399744,0.08333333333333333,1.0
1e-09,50,1,9.628047376951958e-13,8.318632933686493e-08,3.0383806790289914e-05,0.9628047376951957,5.092958178940652e-07,415.22637765798396,1.2265497697103551e-09,0.48808375993399744,1.0,0.0
1e-09,50,5,4.814023688475981e-12,4.1593164668432473e-07,0.00015191903395144962,4.814023688475978,5.092958178940654e-07,415.22637765798396,1.2265497697103558e-09,0.48808375993399744,0.2,1.0
1e-09,50,12,1.1553656852342352e-11,9.982359520423792e-07,0.000364605681483479,11.553656852342348,5.092958178940653e-07,415.22637765798396,1.2265497697103553e-09,0.48808375993399744,0.08333333333333333,1.0
1e-09,80,1,6.017529610594975e-13,5.1991455835540584e-08,1.89898792439312e-05,0.6017529610594973,5.092958178940653e-07,525.2244391921926,9.696727339599317e-10,0.48808375993399744,1.0,0.0
1e-09,80,5,3.0087648052974877e-12,2.5995727917770294e-07,9.4949396219656e-05,3.0087648052974862,5.092958178940653e-07,525.2244391921926,9.696727339599317e-10,0.48808375993399744,0.2,1.0
1e-09,80,12,7.221035532713969e-12,6.238974700264869e-07,0.00022787855092717437,7.221035532713968,5.092958178940652e-07,525.2244391921926,9.696727339599315e-10,0.48808375993399744,0.08333333333333333,1.0
1e-09,300,1,1.6046745628253264e-13,1.386438822281082e-08,5.063967798381652e-06,0.1604674562825326,5.092958178940653e-07,1017.0927530062459,5.007368466530975e-10,0.48808375993399744,1.0,0.0
1e-09,300,5,8.023372814126632e-13,6.93219411140541e-08,2.531983899190826e-05,0.8023372814126629,5.092958178940653e-07,1017.0927530062459,5.007368466530975e-10,0.48808375993399744,0.2,1.0
1e-09,300,12,1.9256094753903917e-12,1.6637265867372985e-07,6.076761358057983e-05,1.9256094753903912,5.092958178940652e-07,1017.0927530062459,5.007368466530974e-10,0.48808375993399744,0.08333333333333333,1.0
1e-08,4,1,1.2035059221189946e-10,1.0398291167108113e-05,0.0037979758487862382,12.035059221189945,5.092958178940651e-06,117.44375494779472,4.336508298124952e-08,0.48808375993399744,1.0,0.0
1e-08,4,5,6.017529610594974e-10,5.199145583554057e-05,0.018989879243931192,60.17529610594973,5.092958178940653e-06,117.44375494779472,4.336508298124953e-08,0.48808375993399744,0.2,1.0
1e-08,4,12,1.444207106542794e-09,0.0001247794940052974,0.045575710185434874,144.42071065427936,5.092958178940652e-06,117.44375494779472,4.3365082981249524e-08,0.48808375993399744,0.08333333333333333,1.0
1e-08,10,1,4.814023688475979e-11,4.159316466843246e-06,0.0015191903395144956,4.814023688475978,5.092958178940652e-06,185.6948812988504,2.742648662859067e-08,0.48808375993399744,1.0,0.0
1e-08,10,5,2.407011844237989e-10,2.0796582334216227e-05,0.0075959516975724764,24.07011844237989,5.092958178940651e-06,185.6948812988504,2.7426486628590667e-08,0.48808375993399744,0.2,1.0
1e-08,10,12,5.776828426171176e-10,4.9911797602118965e-05,0.01823028407417395,57.76828426171174,5.092958178940653e-06,185.6948812988504,2.7426486628590674e-08,0.48808375993399744,0.08333333333333333,1.0
1e-08,20,1,2.4070118442379895e-11,2.079658233421623e-06,0.0007595951697572478,2.407011844237989,5.092958178940652e-06,262.6122195960963,1.9393454679198632e-08,0.48808375993399744,1.0,0.0
1e-08,20,5,1.2035059221189946e-10,1.0398291167108113e-05,0.0037979758487862382,12.035059221189945,5.092958178940651e-06,262.6122195960963,1.939345467919863e-08,0.48808375993399744,0.2,1.0
1e-08,20,12,2.888414213085588e-10,2.4955898801059482e-05,0.009115142037086976,28.88414213085587,5.092958178940653e-06,262.6122195960963,1.9393454679198636e-08,0.48808375993399744,0.08333333333333333,1.0
1e-08,50,1,9.628047376951958e-12,8.318632933686492e-07,0.00030383806790289914,0.9628047376951957,5.092958178940652e-06,415.22637765798396,1.2265497697103552e-08,0.48808375993399744,1.0,0.0
1e-08,50,5,4.814023688475979e-11,4.159316466843246e-06,0.0015191903395144956,4.814023688475978,5.092958178940652e-06,415.22637765798396,1.2265497697103552e-08,0.48808375993399744,0.2,1.0
1e-08,50,12,1.1553656852342351e-10,9.982359520423791e-06,0.00364605681483479,11.553656852342348,5.092958178940653e-06,415.22637765798396,1.2265497697103553e-08,0.48808375993399744,0.08333333333333333,1.0
1e-08,80,1,6.017529610594974e-12,5.199145583554058e-07,0.00018989879243931195,0.6017529610594973,5.092958178940652e-06,525.2244391921926,9.696727339599316e-09,0.48808375993399744,1.0,0.0
1e-08,80,5,3.0087648052974865e-11,2.5995727917770284e-06,0.0009494939621965596,3.0087648052974862,5.092958178940651e-06,525.2244391921926,9.696727339599315e-09,0.48808375993399744,0.2,1.0
1e-08,80,12,7.22103553271397e-11,6.238974700264871e-06,0.002278785509271744,7.221035532713968,5.092958178940653e-06,525.2244391921926,9.696727339599318e-09,0.48808375993399744,0.08333333333333333,1.0
1e-08,300,1,1.6046745628253262e-12,1.3864388222810817e-07,5.0639677983816516e-05,0.1604674562825326,5.092958178940653e-06,1017.0927530062459,5.007368466530975e-09,0.48808375993399744,1.0,0.0
1e-08,300,5,8.023372814126631e-12,6.93219411140541e-07,0.0002531983899190826,0.8023372814126629,5.092958178940652e-06,1017.0927530062459,5.007368466530974e-09,0.48808375993399744,0.2,1.0
1e-08,300,12,1.9256094753903917e-11,1.6637265867372985e-06,0.0006076761358057983,1.9256094753903912,5.092958178940652e-06,1017.0927530062459,5.007368466530974e-09,0.48808375993399744,0.08333333333333333,1.0
1e-07,4,1,1.2035059221189947e-09,0.00010398291167108114,0.037979758487862385,12.035059221189945,5.092958178940652e-05,117.44375494779472,4.3365082981249524e-07,0.48808375993399744,1.0,0.0
1e-07,4,5,6.017529610594974e-09,0.0005199145583554058,0.18989879243931193,60.17529610594973,5.092958178940652e-05,117.44375494779472,4.3365082981249524e-07,0.48808375993399744,0.2,1.0
1e-07,4,12,1.4442071065427939e-08,0.001247794940052974,0.45575710185434876,144.42071065427936,5.092958178940651e-05,117.44375494779472,4.336508298124952e-07,0.48808375993399744,0.08333333333333333,1.0
1e-07,10,1,4.814023688475978e-10,4.1593164668432454e-05,0.015191903395144953,4.814023688475978,5.092958178940651e-05,185.6948812988504,2.7426486628590665e-07,0.48808375993399744,1.0,0.0
1e-07,10,5,2.4070118442379894e-09,0.00020796582334216228,0.07595951697572477,24.07011844237989,5.092958178940652e-05,185.6948812988504,2.742648662859067e-07,0.48808375993399744,0.2,1.0
